South Pole                      0.00, -90.00,     2835,   -28,  -25,  -42,  -37,  -56,  -50,  -60,  -52,  -61,  -53,  -61,  -53,  -63,  -55,  -62,  -55,  -62,  -55,  -53,  -47,  -39,  -36,  -39,  -36,   558,   480,   217,     0,     0,     0,     0,     0,    60,   434,   600,   589
Jerusalem                      35.21,  31.77,      795,     4,   12,    5,   13,    6,   16,   10,   21,   12,   25,   15,   28,   17,   29,   17,   29,   16,   28,   14,   25,   10,   19,    6,   14,   172,   188,   223,   285,   334,   408,   405,   388,   339,   278,   214,   180
Singapore                     103.82,   1.35,        5,    23,   29,   23,   31,   24,   31,   24,   32,   24,   31,   24,   31,   24,   31,   24,   31,   24,   31,   24,   31,   23,   30,   23,   29,   172,   183,   193,   174,   180,   178,   188,   181,   156,   155,   130,   134
Kabul, Afghanistan             69.21,  34.56,     1791,    -7,    5,   -6,    6,    1,   13,    6,   19,    9,   24,   12,   30,   15,   32,   14,   32,    9,   29,    4,   22,   -1,   15,   -5,    8,   177,   179,   205,   233,   310,   353,   357,   340,   304,   283,   253,   182
Baku, Azerbaijan               49.87,  40.41,      -28,     2,    7,    2,    6,    4,   10,    9,   16,   15,   22,   20,   27,   22,   31,   23,   30,   19,   26,   14,   20,    9,   14,    5,   10,    90,    89,   124,   195,   257,   294,   313,   282,   222,   146,    93,   102
Bandar Seri Begawan, Brunei   114.94,   4.90,       22,    23,   30,   23,   31,   24,   32,   24,   33,   24,   33,   23,   33,   23,   32,   23,   32,   23,   32,   23,   32,   23,   31,   23,   31,   196,   191,   225,   239,   236,   210,   222,   218,   199,   206,   205,   211
Beijing, China                116.41,  39.90,       63,    -9,    1,   -7,    4,   -1,   11,    7,   19,   13,   26,   18,   30,   21,   31,   20,   29,   14,   26,    7,   19,   -1,   10,   -7,    3,   203,   210,   232,   240,   255,   263,   210,   218,   225,   240,   195,   188
Changchun, China              125.32,  43.82,      222,   -19,  -10,  -15,   -4,   -6,    4,    3,   14,   10,   22,   16,   27,   19,   28,   18,   27,   11,   22,    3,   14,   -7,    2,  -16,   -7,   177,   200,   236,   238,   257,   245,   219,   235,   238,   211,   167,   155
Changsha, China               112.94,  28.23,       63,     3,    9,    5,   11,    9,   16,   15,   22,   19,   27,   23,   30,   26,   34,   25,   33,   21,   29,   16,   24,   10,   18,    5,   12,    64,    60,    79,   110,   138,   147,   234,   206,   149,   137,   117,   101
Chengdu, China                104.07,  30.57,      500,     3,    9,    5,   12,    9,   17,   13,   23,   17,   27,   20,   28,   22,   30,   22,   30,   19,   26,   15,   21,   10,   16,    4,   11,    67,    59,    96,   114,   130,   128,   149,   163,    81,    65,    62,    60
Chongqing, China              106.55,  29.56,      234,     5,    9,    7,   13,   11,   18,   16,   23,   19,   27,   22,   29,   24,   34,   25,   35,   22,   28,   16,   22,   12,   16,    8,   13,    45,    60,    75,   113,   135,   128,   210,   210,   120,    60,    45,    53
Datong, China                 113.30,  40.08,     1042,   -17,   -3,  -13,    1,   -6,    8,    2,   17,    8,   23,   13,   27,   16,   28,   15,   26,    9,   22,    2,   15,   -7,    6,  -14,   -2,   184,   189,   222,   244,   273,   266,   245,   234,   235,   227,   186,   168
