Model                Brand            Cell Type           Efficiency  Length(nominal)  Width(nominal)  Thickness  M    N    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance  Price
ASP-400M,            ASP,             Monocrystalline,    0.156,      1.96(1.96),      1.308(1.31),    0.04,      12,  8,   400,    49.8,  8.04,  60,    8.56,  -0.0049,  47,    35.5,   Black,  Partial,         399
CS6X-330M-FG,        Canadian Solar,  Monocrystalline,    0.168,      1.972(1.96),     0.996(0.99),    0.006,     12,  6,   330,    37.5,  8.8,   45.9,  9.31,  -0.0041,  45,    27.5,   Black,  Partial,         429
CS6X-330P-FG,        Canadian Solar,  Polycrystalline,    0.168,      1.972(1.96),     0.996(0.99),    0.006,     12,  6,   330,    37.2,  8.88,  45.6,  9.45,  -0.0041,  45,    27.5,   Blue,   Partial,         559
CS6X-350P-FG,        Canadian Solar,  Polycrystalline,    0.1793,     1.968(1.96),     0.992(0.99),    0.006,     12,  6,   350,    37.6,  9.05,  45.9,  9.62,  -0.0039,  43,    27.5,   Blue,   Partial,         579
CS6X-355P-FG,        Canadian Solar,  Polycrystalline,    0.1818,     1.968(1.96),     0.992(0.99),    0.006,     12,  6,   355,    38.2,  9.3,   46.4,  9.84,  -0.0039,  43,    27.5,   Blue,   Partial,         599
FS-275,              First Solar,     Thin Film,          0.1042,     1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  75,     68.2,  1.10,  89.6,  1.23,  -0.0025,  45,    12,     Black,  None,            400
FS-277,              First Solar,     Thin Film,          0.1076,     1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  77.5,   69.9,  1.11,  90.5,  1.22,  -0.0025,  45,    12,     Black,  None,            400
FS-280,              First Solar,     Thin Film,          0.1111,     1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  80,     71.2,  1.12,  91.5,  1.22,  -0.0025,  45,    12,     Black,  None,            400
FS-385,              First Solar,     Thin Film,          0.118,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  85,     46.4,  1.83,  60.5,  1.94,  -0.0025,  45,    12,     Black,  None,            400
FS-390,              First Solar,     Thin Film,          0.125,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  90,     47.4,  1.9,   60.5,  2.06,  -0.0025,  45,    12,     Black,  None,            400
FS-495,              First Solar,     Thin Film,          0.1319,     1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  95,     67.9,  1.4,   86.5,  1.55,  -0.0029,  45,    12,     Black,  None,            400
FS-497,              First Solar,     Thin Film,          0.1354,     1.2(1.2),        0.6(0.6),       0.007,     20,  10,  97.5,   68.7,  1.42,  87,    1.55,  -0.0029,  45,    12,     Black,  None,            400
FS-4105-2,           First Solar,     Thin Film,          0.146,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  105,    67.8,  1.55,  86.0,  1.74,  -0.0034,  45,    12,     Black,  None,            450
FS-4115-2,           First Solar,     Thin Film,          0.160,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  115,    70.5,  1.63,  87.8,  1.78,  -0.0034,  45,    12,     Black,  None,            500
FS-4110-3,           First Solar,     Thin Film,          0.153,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  110,    67.8,  1.62,  86.4,  1.82,  -0.0028,  45,    12,     Black,  None,            500
FS-4112-3,           First Solar,     Thin Film,          0.156,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  112.5,  68.5,  1.64,  87.0,  1.83,  -0.0028,  45,    12,     Black,  None,            520
FS-4115-3,           First Solar,     Thin Film,          0.160,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  115,    69.3,  1.66,  87.6,  1.83,  -0.0028,  45,    12,     Black,  None,            540
FS-4117-3,           First Solar,     Thin Film,          0.163,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  117.5,  70.1,  1.68,  88.1,  1.83,  -0.0028,  45,    12,     Black,  None,            560
FS-4120-3,           First Solar,     Thin Film,          0.167,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  120,    70.8,  1.70,  88.7,  1.84,  -0.0028,  45,    12,     Black,  None,            580
FS-4122-3,           First Solar,     Thin Film,          0.170,      1.2(1.2),        0.6(0.6),       0.0068,    20,  10,  122.5,  71.5,  1.71,  88.7,  1.85,  -0.0028,  45,    12,     Black,  None,            600
FS-6420,             First Solar,     Thin Film,          0.170,      2.009(2.0),      1.232(1.2),     0.0485,    20,  10,  420,   180.4,  2.33,  218.5, 2.54,  -0.0032,  45,    35,     Black,  None,            1000
FS-6425,             First Solar,     Thin Film,          0.172,      2.009(2.0),      1.232(1.2),     0.0485,    20,  10,  425,   181.5,  2.34,  218.9, 2.54,  -0.0032,  45,    35,     Black,  None,            1010
FS-6430,             First Solar,     Thin Film,          0.174,      2.009(2.0),      1.232(1.2),     0.0485,    20,  10,  430,   182.6,  2.36,  219.2, 2.54,  -0.0032,  45,    35,     Black,  None,            1020
